tick,type,time,control,value,channel,meta,track,program,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,data,tempo,note,velocity
20928,note_on,64,,,2,0,0,,,,,,,,52,75
20996,note_off,68,,,0,0,0,,,,,,,,74,64
21056,note_off,60,,,2,0,0,,,,,,,,52,64
21120,note_on,64,,,2,0,0,,,,,,,,52,75
21248,note_off,128,,,0,0,0,,,,,,,,80,64
21248,note_off,0,,,1,0,0,,,,,,,,68,64
21248,note_off,0,,,2,0,0,,,,,,,,52,64
21312,note_on,64,,,2,0,0,,,,,,,,52,75
21440,note_off,128,,,2,0,0,,,,,,,,52,64
21504,note_on,64,,,0,0,0,,,,,,,,76,75
21504,note_on,0,,,0,0,0,,,,,,,,76,75
21504,note_on,0,,,1,0,0,,,,,,,,69,75
21504,note_on,0,,,2,0,0,,,,,,,,45,75
21632,note_off,128,,,2,0,0,,,,,,,,45,64
21696,note_on,64,,,2,0,0,,,,,,,,45,75
21824,note_off,128,,,2,0,0,,,,,,,,45,64
21888,note_on,64,,,2,0,0,,,,,,,,45,75
22016,note_off,128,,,1,0,0,,,,,,,,69,64
22016,note_off,0,,,2,0,0,,,,,,,,45,64
22080,note_on,64,,,2,0,0,,,,,,,,45,75
22208,note_off,128,,,2,0,0,,,,,,,,45,64
22272,note_on,64,,,1,0,0,,,,,,,,73,75
22272,note_on,0,,,2,0,0,,,,,,,,45,75
22400,note_off,128,,,2,0,0,,,,,,,,45,64
22464,note_on,64,,,2,0,0,,,,,,,,45,75
22592,note_off,128,,,2,0,0,,,,,,,,45,64
22656,note_on,64,,,2,0,0,,,,,,,,45,75
22784,note_off,128,,,1,0,0,,,,,,,,73,64
22784,note_off,0,,,2,0,0,,,,,,,,45,64
22848,note_on,64,,,2,0,0,,,,,,,,45,75
22976,note_off,128,,,2,0,0,,,,,,,,45,64
23040,note_on,64,,,1,0,0,,,,,,,,69,75
23040,note_on,0,,,2,0,0,,,,,,,,45,75
23168,note_off,128,,,2,0,0,,,,,,,,45,64
23232,note_on,64,,,2,0,0,,,,,,,,45,75
23296,note_off,64,,,1,0,0,,,,,,,,69,64
23360,note_off,64,,,2,0,0,,,,,,,,45,64
23424,note_on,64,,,1,0,0,,,,,,,,69,75
23424,note_on,0,,,2,0,0,,,,,,,,45,75
23552,note_off,128,,,0,0,0,,,,,,,,76,64
23552,note_off,0,,,0,0,0,,,,,,,,76,64
23552,note_off,0,,,2,0,0,,,,,,,,45,64
23616,note_on,64,,,2,0,0,,,,,,,,45,75
23680,note_off,64,,,1,0,0,,,,,,,,69,64
23744,note_off,64,,,2,0,0,,,,,,,,45,64
23808,note_on,64,,,0,0,0,,,,,,,,76,75
23808,note_on,0,,,0,0,0,,,,,,,,73,75
23808,note_on,0,,,1,0,0,,,,,,,,69,75
23808,note_on,0,,,2,0,0,,,,,,,,45,75
24064,note_off,256,,,0,0,0,,,,,,,,76,64
24064,note_off,0,,,0,0,0,,,,,,,,73,64
24064,note_off,0,,,1,0,0,,,,,,,,69,64
24064,note_off,0,,,2,0,0,,,,,,,,45,64
24576,note_on,512,,,0,0,0,,,,,,,,81,75
24576,note_on,0,,,0,0,0,,,,,,,,73,75
24576,note_on,0,,,1,0,0,,,,,,,,64,75
24576,note_on,0,,,2,0,0,,,,,,,,45,75
24704,note_off,128,,,2,0,0,,,,,,,,45,64
24768,note_on,64,,,2,0,0,,,,,,,,45,75
24832,note_off,64,,,0,0,0,,,,,,,,81,64
24832,note_off,0,,,0,0,0,,,,,,,,73,64
24832,note_off,0,,,1,0,0,,,,,,,,64,64
24896,note_off,64,,,2,0,0,,,,,,,,45,64
24960,note_on,64,,,0,0,0,,,,,,,,80,75
24960,note_on,0,,,0,0,0,,,,,,,,71,75
24960,note_on,0,,,1,0,0,,,,,,,,64,75
24960,note_on,0,,,2,0,0,,,,,,,,40,75
25088,note_off,128,,,2,0,0,,,,,,,,40,64
25152,note_on,64,,,2,0,0,,,,,,,,40,75
25216,note_off,64,,,0,0,0,,,,,,,,80,64
25216,note_off,0,,,0,0,0,,,,,,,,71,64
25216,note_off,0,,,1,0,0,,,,,,,,64,64
25280,note_off,64,,,2,0,0,,,,,,,,40,64
25344,note_on,64,,,0,0,0,,,,,,,,81,75
25344,note_on,0,,,0,0,0,,,,,,,,73,75
25344,note_on,0,,,1,0,0,,,,,,,,64,75
25344,note_on,0,,,2,0,0,,,,,,,,45,75
25856,note_off,512,,,0,0,0,,,,,,,,81,64
25856,note_off,0,,,0,0,0,,,,,,,,73,64
25856,note_off,0,,,1,0,0,,,,,,,,64,64
25856,note_off,0,,,2,0,0,,,,,,,,45,64
26112,note_on,256,,,0,0,0,,,,,,,,76,75
26112,note_on,0,,,0,0,0,,,,,,,,73,75
26112,note_on,0,,,1,0,0,,,,,,,,67,75
26112,note_on,0,,,2,0,0,,,,,,,,52,75
26240,note_off,128,,,2,0,0,,,,,,,,52,64
26304,note_on,64,,,2,0,0,,,,,,,,52,75
26432,note_off,128,,,2,0,0,,,,,,,,52,64
26496,note_on,64,,,2,0,0,,,,,,,,52,75
26624,note_off,128,,,0,0,0,,,,,,,,76,64
26624,note_off,0,,,0,0,0,,,,,,,,73,64
26624,note_off,0,,,1,0,0,,,,,,,,67,64
26624,note_off,0,,,2,0,0,,,,,,,,52,64
26688,note_on,64,,,2,0,0,,,,,,,,52,75
26816,note_off,128,,,2,0,0,,,,,,,,52,64
26880,note_on,64,,,0,0,0,,,,,,,,73,75
26880,note_on,0,,,0,0,0,,,,,,,,70,75
