tick,type,frame_rate,hours,minutes,seconds,frames,sub_frames,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,note,velocity,channel,control,value
14055,note_off,,,,,,,46,0,0,,,,,,,50,64,0,,
14151,note_off,,,,,,,96,0,0,,,,,,,71,64,0,,
14179,note_on,,,,,,,28,0,0,,,,,,,79,70,0,,
14185,note_on,,,,,,,6,0,0,,,,,,,43,71,0,,
14195,note_off,,,,,,,10,0,0,,,,,,,67,64,0,,
14225,note_off,,,,,,,30,0,0,,,,,,,43,64,0,,
14303,note_off,,,,,,,78,0,0,,,,,,,79,64,0,,
14359,note_on,,,,,,,56,0,0,,,,,,,38,85,0,,
14531,note_on,,,,,,,172,0,0,,,,,,,69,62,0,,
14539,note_on,,,,,,,8,0,0,,,,,,,66,42,0,,
14585,note_off,,,,,,,46,0,0,,,,,,,69,64,0,,
14599,note_off,,,,,,,14,0,0,,,,,,,66,64,0,,
14633,note_off,,,,,,,34,0,0,,,,,,,38,64,0,,
14709,note_on,,,,,,,76,0,0,,,,,,,72,63,0,,
14755,note_off,,,,,,,46,0,0,,,,,,,72,64,0,,
14893,note_on,,,,,,,138,0,0,,,,,,,71,69,0,,
14899,note_on,,,,,,,6,0,0,,,,,,,55,49,0,,
14901,note_on,,,,,,,2,0,0,,,,,,,67,44,0,,
14955,note_off,,,,,,,54,0,0,,,,,,,55,64,0,,
15071,note_on,,,,,,,116,0,0,,,,,,,50,57,0,,
15121,note_off,,,,,,,50,0,0,,,,,,,50,64,0,,
15165,note_off,,,,,,,44,0,0,,,,,,,67,64,0,,
15187,note_off,,,,,,,22,0,0,,,,,,,71,64,0,,
15239,note_on,,,,,,,52,0,0,,,,,,,43,51,0,,
15242,note_on,,,,,,,3,0,0,,,,,,,79,59,0,,
15289,note_off,,,,,,,47,0,0,,,,,,,43,64,0,,
15371,note_off,,,,,,,82,0,0,,,,,,,79,64,0,,
15421,note_on,,,,,,,50,0,0,,,,,,,38,51,0,,
15585,note_on,,,,,,,164,0,0,,,,,,,69,63,0,,
15589,note_on,,,,,,,4,0,0,,,,,,,66,50,0,,
15627,note_off,,,,,,,38,0,0,,,,,,,38,64,0,,
15639,note_off,,,,,,,12,0,0,,,,,,,66,64,0,,
15649,note_off,,,,,,,10,0,0,,,,,,,69,64,0,,
15747,note_on,,,,,,,98,0,0,,,,,,,72,71,0,,
15797,note_off,,,,,,,50,0,0,,,,,,,72,64,0,,
15905,note_on,,,,,,,108,0,0,,,,,,,67,75,0,,
15907,note_on,,,,,,,2,0,0,,,,,,,71,91,0,,
15921,note_on,,,,,,,14,0,0,,,,,,,55,72,0,,
16011,note_off,,,,,,,90,0,0,,,,,,,67,64,0,,
16037,note_off,,,,,,,26,0,0,,,,,,,71,64,0,,
16073,note_on,,,,,,,36,0,0,,,,,,,69,68,0,,
16073,note_on,,,,,,,0,0,0,,,,,,,72,76,0,,
16085,note_off,,,,,,,12,0,0,,,,,,,55,64,0,,
16127,note_off,,,,,,,42,0,0,,,,,,,69,64,0,,
16133,note_off,,,,,,,6,0,0,,,,,,,72,64,0,,
