tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,data,tempo,control,value,channel,program,key,note,velocity,pitch
58896,note_off,,,,,320,0,11,,,,,10,,,62,0,
58896,note_off,,,,,320,0,3,,,,,2,,,74,0,
58896,note_off,,,,,0,0,3,,,,,2,,,76,0,
58896,note_off,,,,,0,0,11,,,,,10,,,64,0,
58896,control_change,,,,,16,0,12,,,11,70,11,,,,,
58904,control_change,,,,,8,0,12,,,11,69,11,,,,,
58912,control_change,,,,,8,0,12,,,11,68,11,,,,,
58920,control_change,,,,,8,0,12,,,11,67,11,,,,,
58928,control_change,,,,,8,0,12,,,11,66,11,,,,,
58936,control_change,,,,,8,0,12,,,11,65,11,,,,,
58944,note_on,,,,,8,0,12,,,,,11,,,57,67,
58960,note_on,,,,,64,0,11,,,,,10,,,62,24,
58960,note_on,,,,,0,0,11,,,,,10,,,64,14,
58960,note_on,,,,,64,0,3,,,,,2,,,74,24,
58960,note_on,,,,,0,0,3,,,,,2,,,76,14,
58984,note_off,,,,,40,0,12,,,,,11,,,59,0,
59120,note_off,,,,,160,0,11,,,,,10,,,62,0,
59120,note_off,,,,,0,0,11,,,,,10,,,64,0,
59120,note_off,,,,,0,0,3,,,,,2,,,76,0,
59120,note_off,,,,,160,0,3,,,,,2,,,74,0,
59136,note_on,,,,,0,0,12,,,,,11,,,56,78,
59136,control_change,,,,,152,0,12,,,11,65,11,,,,,
59144,note_off,,,,,8,0,12,,,,,11,,,57,0,
59152,note_on,,,,,768,0,13,,,,,12,,,40,44,
