tick,type,time,meta,track,frame_rate,hours,minutes,seconds,frames,sub_frames,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,program,channel,control,value,note,velocity
155520,note_on,150,0,2,,,,,,,,,,,,,,,0,,,41,54
155520,note_on,100,0,1,,,,,,,,,,,,,,,0,,,74,51
155520,set_tempo,960,1,0,,,,,,,,,,,,412371,,,,,,,
155540,note_on,20,0,1,,,,,,,,,,,,,,,0,,,69,0
155571,control_change,51,0,2,,,,,,,,,,,,,,,0,64,127,,
155640,note_on,0,0,1,,,,,,,,,,,,,,,0,,,83,0
155640,note_on,0,0,1,,,,,,,,,,,,,,,0,,,71,53
155640,note_on,0,0,2,,,,,,,,,,,,,,,0,,,53,56
155640,note_on,69,0,2,,,,,,,,,,,,,,,0,,,41,0
155640,note_on,0,0,1,,,,,,,,,,,,,,,0,,,79,0
155640,note_on,100,0,1,,,,,,,,,,,,,,,0,,,74,0
155760,note_on,120,0,1,,,,,,,,,,,,,,,0,,,71,0
155760,note_on,0,0,1,,,,,,,,,,,,,,,0,,,74,55
155760,note_on,0,0,1,,,,,,,,,,,,,,,0,,,79,55
155760,note_on,0,0,2,,,,,,,,,,,,,,,0,,,41,57
155760,note_on,120,0,2,,,,,,,,,,,,,,,0,,,53,0
155760,set_tempo,240,1,0,,,,,,,,,,,,410959,,,,,,,
155760,note_on,0,0,1,,,,,,,,,,,,,,,0,,,83,55
155880,note_on,0,0,2,,,,,,,,,,,,,,,0,,,53,59
155880,note_on,0,0,1,,,,,,,,,,,,,,,0,,,71,56
155880,note_on,0,0,1,,,,,,,,,,,,,,,0,,,74,0
155880,note_on,0,0,1,,,,,,,,,,,,,,,0,,,79,0
155880,note_on,120,0,1,,,,,,,,,,,,,,,0,,,83,0
155880,note_on,120,0,2,,,,,,,,,,,,,,,0,,,41,0
156000,note_on,0,0,1,,,,,,,,,,,,,,,0,,,84,58
156000,note_on,120,0,1,,,,,,,,,,,,,,,0,,,71,0
156000,note_on,0,0,2,,,,,,,,,,,,,,,0,,,40,60
156000,note_on,120,0,2,,,,,,,,,,,,,,,0,,,53,0
156000,set_tempo,240,1,0,,,,,,,,,,,,409556,,,,,,,
156000,note_on,0,0,1,,,,,,,,,,,,,,,0,,,79,58
156010,control_change,10,0,2,,,,,,,,,,,,,,,0,64,0,,
156057,control_change,47,0,2,,,,,,,,,,,,,,,0,64,127,,
156120,note_on,63,0,2,,,,,,,,,,,,,,,0,,,40,0
156120,note_on,0,0,2,,,,,,,,,,,,,,,0,,,52,62
156120,note_on,0,0,1,,,,,,,,,,,,,,,0,,,72,60
156120,note_on,0,0,1,,,,,,,,,,,,,,,0,,,79,0
156120,note_on,120,0,1,,,,,,,,,,,,,,,0,,,84,0
156240,note_on,0,0,1,,,,,,,,,,,,,,,0,,,84,62
156240,note_on,120,0,1,,,,,,,,,,,,,,,0,,,72,0
156240,set_tempo,240,1,0,,,,,,,,,,,,408163,,,,,,,
156240,note_on,0,0,2,,,,,,,,,,,,,,,0,,,40,63
156240,note_on,0,0,1,,,,,,,,,,,,,,,0,,,79,62
156240,note_on,120,0,2,,,,,,,,,,,,,,,0,,,52,0
156360,note_on,0,0,2,,,,,,,,,,,,,,,0,,,52,65
156360,note_on,120,0,2,,,,,,,,,,,,,,,0,,,40,0
156360,note_on,120,0,1,,,,,,,,,,,,,,,0,,,79,0
156360,note_on,0,0,1,,,,,,,,,,,,,,,0,,,84,0
156360,note_on,0,0,1,,,,,,,,,,,,,,,0,,,72,63
156480,note_on,0,0,1,,,,,,,,,,,,,,,0,,,89,65
156480,set_tempo,240,1,0,,,,,,,,,,,,406780,,,,,,,
156480,note_on,120,0,1,,,,,,,,,,,,,,,0,,,72,0
156480,note_on,0,0,2,,,,,,,,,,,,,,,0,,,38,66
156480,note_on,120,0,2,,,,,,,,,,,,,,,0,,,52,0
156480,note_on,0,0,1,,,,,,,,,,,,,,,0,,,84,65
156490,control_change,10,0,2,,,,,,,,,,,,,,,0,64,0,,
156560,control_change,70,0,2,,,,,,,,,,,,,,,0,64,127,,
156600,note_on,120,0,1,,,,,,,,,,,,,,,0,,,84,0
156600,note_on,0,0,2,,,,,,,,,,,,,,,0,,,50,66
156600,note_on,40,0,2,,,,,,,,,,,,,,,0,,,38,0
156600,note_on,0,0,1,,,,,,,,,,,,,,,0,,,89,0
156600,note_on,0,0,1,,,,,,,,,,,,,,,0,,,77,65
156720,note_on,120,0,1,,,,,,,,,,,,,,,0,,,77,0
156720,note_on,0,0,2,,,,,,,,,,,,,,,0,,,38,67
156720,note_on,0,0,1,,,,,,,,,,,,,,,0,,,89,66
156720,note_on,0,0,1,,,,,,,,,,,,,,,0,,,84,66
156720,note_on,120,0,2,,,,,,,,,,,,,,,0,,,50,0
156840,note_on,0,0,2,,,,,,,,,,,,,,,0,,,50,68
156840,note_on,120,0,2,,,,,,,,,,,,,,,0,,,38,0
156840,note_on,0,0,1,,,,,,,,,,,,,,,0,,,77,66
156840,note_on,0,0,1,,,,,,,,,,,,,,,0,,,89,0
156840,note_on,120,0,1,,,,,,,,,,,,,,,0,,,84,0
156920,set_tempo,440,1,0,,,,,,,,,,,,404040,,,,,,,
156960,note_on,120,0,2,,,,,,,,,,,,,,,0,,,50,0
156960,note_on,0,0,1,,,,,,,,,,,,,,,0,,,83,67
156960,note_on,0,0,1,,,,,,,,,,,,,,,0,,,89,67
156960,note_on,120,0,1,,,,,,,,,,,,,,,0,,,77,0
156960,note_on,0,0,2,,,,,,,,,,,,,,,0,,,32,69
157000,set_tempo,80,1,0,,,,,,,,,,,,405405,,,,,,,
157080,note_on,120,0,1,,,,,,,,,,,,,,,0,,,83,0
157080,note_on,0,0,1,,,,,,,,,,,,,,,0,,,89,0
157080,note_on,0,0,2,,,,,,,,,,,,,,,0,,,44,69
157080,note_on,120,0,2,,,,,,,,,,,,,,,0,,,32,0
157080,set_tempo,80,1,0,,,,,,,,,,,,406780,,,,,,,
157080,note_on,0,0,1,,,,,,,,,,,,,,,0,,,77,67
157160,set_tempo,80,1,0,,,,,,,,,,,,408163,,,,,,,
157200,note_on,0,0,2,,,,,,,,,,,,,,,0,,,32,70
157200,note_on,120,0,1,,,,,,,,,,,,,,,0,,,77,0
157200,note_on,0,0,1,,,,,,,,,,,,,,,0,,,83,68
157200,note_on,0,0,1,,,,,,,,,,,,,,,0,,,89,68
157200,note_on,120,0,2,,,,,,,,,,,,,,,0,,,44,0
157240,set_tempo,80,1,0,,,,,,,,,,,,409556,,,,,,,
157320,note_on,0,0,2,,,,,,,,,,,,,,,0,,,44,71
157320,note_on,120,0,2,,,,,,,,,,,,,,,0,,,32,0
157320,note_on,0,0,1,,,,,,,,,,,,,,,0,,,89,0
157320,set_tempo,80,1,0,,,,,,,,,,,,410959,,,,,,,
157320,note_on,0,0,1,,,,,,,,,,,,,,,0,,,77,68
157320,note_on,120,0,1,,,,,,,,,,,,,,,0,,,83,0
157400,set_tempo,80,1,0,,,,,,,,,,,,412371,,,,,,,
157440,set_tempo,40,1,0,,,,,,,,,,,,413793,,,,,,,
157440,note_on,0,0,1,,,,,,,,,,,,,,,0,,,57,60
157440,note_on,120,0,1,,,,,,,,,,,,,,,0,,,77,0
157440,note_on,0,0,2,,,,,,,,,,,,,,,0,,,45,60
157440,note_on,120,0,2,,,,,,,,,,,,,,,0,,,44,0
157440,control_change,0,0,2,,,,,,,,,,,,,,,0,64,0,,
157440,note_on,0,0,2,,,,,,,,,,,,,,,0,,,33,50
157530,note_on,0,0,2,,,,,,,,,,,,,,,0,,,33,0
157530,note_on,90,0,2,,,,,,,,,,,,,,,0,,,45,0
157560,note_on,120,0,1,,,,,,,,,,,,,,,0,,,69,55
157580,note_on,20,0,1,,,,,,,,,,,,,,,0,,,57,0
157680,note_on,0,0,2,,,,,,,,,,,,,,,0,,,52,61
157680,note_on,100,0,1,,,,,,,,,,,,,,,0,,,64,55
157680,set_tempo,240,1,0,,,,,,,,,,,,402685,,,,,,,
157680,note_on,150,0,2,,,,,,,,,,,,,,,0,,,40,51
157700,note_on,20,0,1,,,,,,,,,,,,,,,0,,,69,0
157770,note_on,0,0,2,,,,,,,,,,,,,,,0,,,40,0
157770,note_on,90,0,2,,,,,,,,,,,,,,,0,,,52,0
157800,note_on,100,0,1,,,,,,,,,,,,,,,0,,,61,55
157820,note_on,20,0,1,,,,,,,,,,,,,,,0,,,64,0
157920,note_on,150,0,2,,,,,,,,,,,,,,,0,,,45,54
