tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,program,channel,control,value,pitch,note,velocity
17613,control_change,30,0,7,,,,,,,,,11,11,70,,,
17615,control_change,30,0,2,,,,,,,,,1,11,66,,,
17615,control_change,30,0,8,,,,,,,,,12,11,70,,,
17617,control_change,30,0,9,,,,,,,,,13,11,70,,,
17620,control_change,30,0,3,,,,,,,,,3,11,70,,,
17621,control_change,30,0,10,,,,,,,,,14,11,70,,,
17640,set_tempo,240,1,0,,,,,,267857,,,,,,,,
17640,control_change,30,0,6,,,,,,,,,10,11,71,,,
17640,note_on,0,0,6,,,,,,,,,10,,,,67,107
17642,note_on,0,0,1,,,,,,,,,0,,,,79,83
17642,control_change,30,0,1,,,,,,,,,0,11,67,,,
17643,control_change,30,0,7,,,,,,,,,11,11,71,,,
17643,note_on,0,0,7,,,,,,,,,11,,,,63,107
17645,control_change,30,0,8,,,,,,,,,12,11,71,,,
17645,note_on,0,0,2,,,,,,,,,1,,,,75,83
17645,note_on,0,0,2,,,,,,,,,1,,,,67,83
17645,control_change,30,0,2,,,,,,,,,1,11,67,,,
17645,note_on,0,0,8,,,,,,,,,12,,,,51,105
17647,control_change,30,0,9,,,,,,,,,13,11,71,,,
17647,note_on,0,0,9,,,,,,,,,13,,,,51,96
17650,control_change,30,0,3,,,,,,,,,3,11,71,,,
17650,note_on,0,0,3,,,,,,,,,3,,,,51,83
17651,note_on,0,0,10,,,,,,,,,14,,,,39,90
17651,control_change,30,0,10,,,,,,,,,14,11,71,,,
17670,control_change,30,0,6,,,,,,,,,10,11,71,,,
17672,control_change,30,0,1,,,,,,,,,0,11,68,,,
17673,control_change,30,0,7,,,,,,,,,11,11,71,,,
17675,control_change,30,0,2,,,,,,,,,1,11,68,,,
17675,control_change,30,0,8,,,,,,,,,12,11,71,,,
17677,control_change,30,0,9,,,,,,,,,13,11,71,,,
17680,control_change,30,0,3,,,,,,,,,3,11,71,,,
17681,control_change,30,0,10,,,,,,,,,14,11,71,,,
17700,control_change,0,0,6,,,,,,,,,10,11,72,,,
17700,note_on,30,0,6,,,,,,,,,10,,,,67,0
17702,control_change,0,0,1,,,,,,,,,0,11,68,,,
17702,note_on,30,0,1,,,,,,,,,0,,,,79,0
17703,control_change,0,0,7,,,,,,,,,11,11,72,,,
17703,note_on,30,0,7,,,,,,,,,11,,,,63,0
17705,control_change,0,0,2,,,,,,,,,1,11,68,,,
17705,note_on,30,0,8,,,,,,,,,12,,,,51,0
17705,note_on,0,0,2,,,,,,,,,1,,,,67,0
17705,note_on,30,0,2,,,,,,,,,1,,,,75,0
17705,control_change,0,0,8,,,,,,,,,12,11,72,,,
17707,note_on,30,0,9,,,,,,,,,13,,,,51,0
17707,control_change,0,0,9,,,,,,,,,13,11,72,,,
17710,control_change,0,0,3,,,,,,,,,3,11,72,,,
17710,note_on,30,0,3,,,,,,,,,3,,,,51,0
17711,note_on,30,0,10,,,,,,,,,14,,,,39,0
17711,control_change,0,0,10,,,,,,,,,14,11,72,,,
17730,control_change,30,0,6,,,,,,,,,10,11,73,,,
17732,control_change,30,0,1,,,,,,,,,0,11,68,,,
17733,control_change,30,0,7,,,,,,,,,11,11,73,,,
17735,control_change,30,0,8,,,,,,,,,12,11,73,,,
17735,control_change,30,0,2,,,,,,,,,1,11,68,,,
17737,control_change,30,0,9,,,,,,,,,13,11,73,,,
17740,control_change,30,0,3,,,,,,,,,3,11,73,,,
17741,control_change,30,0,10,,,,,,,,,14,11,73,,,
17760,control_change,30,0,6,,,,,,,,,10,11,73,,,
17760,set_tempo,120,1,0,,,,,,247934,,,,,,,,
17760,note_on,0,0,6,,,,,,,,,10,,,,65,100
17762,note_on,0,0,1,,,,,,,,,0,,,,77,83
17762,control_change,30,0,1,,,,,,,,,0,11,69,,,
17763,control_change,30,0,7,,,,,,,,,11,11,73,,,
17763,note_on,0,0,7,,,,,,,,,11,,,,62,100
17765,note_on,0,0,8,,,,,,,,,12,,,,53,98
17765,control_change,30,0,8,,,,,,,,,12,11,73,,,
17765,control_change,30,0,2,,,,,,,,,1,11,69,,,
17765,note_on,0,0,2,,,,,,,,,1,,,,65,83
17765,note_on,0,0,2,,,,,,,,,1,,,,74,83
17767,note_on,0,0,9,,,,,,,,,13,,,,53,89
17767,control_change,30,0,9,,,,,,,,,13,11,73,,,
17770,note_on,0,0,3,,,,,,,,,3,,,,53,83
17770,control_change,30,0,3,,,,,,,,,3,11,73,,,
17771,control_change,30,0,10,,,,,,,,,14,11,73,,,
17771,note_on,0,0,10,,,,,,,,,14,,,,41,83
